job_id,job_title,company,description,required_skills,experience_years,location
1,Data Scientist,Google,"We are looking for a Data Scientist to analyze large datasets and build predictive models. You will work with cross-functional teams to deliver data-driven solutions.","python,machine learning,statistics,sql,tensorflow,pandas,numpy,scikit-learn",3,Remote
2,Machine Learning Engineer,Amazon,"Build and deploy ML models at scale. Work on recommendation systems and NLP pipelines. Collaborate with data engineers and product teams.","python,machine learning,deep learning,pytorch,aws,docker,kubernetes,mlops",4,Seattle
3,Data Analyst,Microsoft,"Analyze business data and create dashboards. Work with stakeholders to define KPIs and deliver actionable insights.","sql,excel,power bi,tableau,python,statistics,data visualization",2,Redmond
4,NLP Engineer,OpenAI,"Design and implement NLP models for language understanding tasks. Work on transformers, fine-tuning LLMs, and text classification.","python,nlp,transformers,pytorch,huggingface,spacy,bert,gpt",4,San Francisco
5,Backend Developer,Netflix,"Build scalable backend services and APIs. Work with microservices architecture and cloud infrastructure.","python,java,rest api,microservices,aws,docker,kubernetes,postgresql",3,Los Gatos
6,Frontend Developer,Meta,"Develop responsive web applications using React. Collaborate with designers and backend engineers.","javascript,react,html,css,typescript,redux,graphql,nodejs",2,Menlo Park
7,Full Stack Developer,Spotify,"Build end-to-end features for our music platform. Work across frontend and backend systems.","javascript,python,react,nodejs,postgresql,docker,aws,rest api",3,Remote
8,DevOps Engineer,Apple,"Manage CI/CD pipelines and cloud infrastructure. Automate deployment processes and monitor system health.","aws,docker,kubernetes,terraform,jenkins,linux,python,bash",4,Cupertino
9,Data Engineer,Uber,"Design and maintain data pipelines. Work with large-scale distributed systems and real-time data processing.","python,spark,hadoop,sql,airflow,kafka,aws,scala",4,San Francisco
10,AI Research Scientist,DeepMind,"Conduct research on reinforcement learning and neural architectures. Publish findings and implement novel algorithms.","python,deep learning,reinforcement learning,pytorch,tensorflow,mathematics,research",5,London
11,Business Intelligence Analyst,Salesforce,"Create BI reports and dashboards. Translate business requirements into analytical solutions.","sql,tableau,power bi,excel,python,data modeling,etl",2,San Francisco
12,Computer Vision Engineer,Tesla,"Develop computer vision algorithms for autonomous driving. Work on object detection and image segmentation.","python,computer vision,opencv,deep learning,pytorch,tensorflow,c++",4,Palo Alto
13,Cloud Architect,IBM,"Design and implement cloud solutions on AWS and Azure. Lead cloud migration projects.","aws,azure,cloud architecture,terraform,docker,kubernetes,security",6,Remote
14,Cybersecurity Analyst,Cisco,"Monitor and respond to security incidents. Conduct vulnerability assessments and penetration testing.","cybersecurity,network security,python,linux,penetration testing,siem,firewalls",3,San Jose
15,Product Manager,Airbnb,"Define product roadmap and work with engineering teams. Analyze user data to drive product decisions.","product management,agile,sql,data analysis,communication,roadmapping,user research",4,San Francisco
16,Software Engineer,LinkedIn,"Design and build scalable software systems. Participate in code reviews and technical design discussions.","java,python,algorithms,data structures,system design,sql,rest api",3,Sunnyvale
17,Robotics Engineer,Boston Dynamics,"Develop control systems and algorithms for robotic platforms. Work on motion planning and sensor fusion.","python,c++,ros,robotics,control systems,matlab,sensor fusion",4,Waltham
18,Blockchain Developer,Coinbase,"Build decentralized applications and smart contracts. Work on blockchain infrastructure and security.","solidity,ethereum,python,javascript,blockchain,smart contracts,web3",3,Remote
19,Mobile Developer,Twitter,"Build iOS and Android applications. Work on performance optimization and user experience.","swift,kotlin,react native,ios,android,rest api,firebase",3,San Francisco
20,Site Reliability Engineer,GitHub,"Ensure platform reliability and performance. Build monitoring systems and respond to incidents.","python,linux,kubernetes,docker,prometheus,grafana,aws,bash",4,Remote
